description,categories
Stage sport,Education
céréales hebdomadaire,Food
retour en RER,Transport
Achat médicaments centre médical,Healthcare
Visite modelage,Other
pantalon chez Jules,Shopping
échéance streaming,Bills
goûter préparé restaurant,Food
Livraison traiteur,Food
Entrée escape game,Entertainment
coloscopie au officine,Healthcare
Steam,Entertainment
expédition,Other
Billet spectacle,Entertainment
photo d'identité,Other
chips au marché,Food
Sortie concert,Entertainment
bateau - aller,Transport
Recharge GPL,Transport
Billet festival,Entertainment
Livraison Monoprix,Food
Facture hôpital,Healthcare
Achat chaise chez Uniqlo,Shopping
traitement,Healthcare
Ticket tournoi,Entertainment
commande en livraison McDonald's,Food
UNICEF,Other
collier,Other
Paiement fixe Total Energies,Bills
Franprix - fromage,Food
OCS mensuel,Entertainment
écharpe chez Mango,Shopping
Colissimo,Other
Frais toilettage,Other
Abonnement streaming,Bills
Commande Monoprix,Food
Repas au poissonnerie,Food
maintenance mensuel,Bills
Repas au Franprix,Food
Livraison fast-food,Food
Ticket de scooter,Transport
Cadeau - cahier,Shopping
Cadeau - fourniture,Shopping
Facture électricité,Bills
Shell,Transport
bateau - course,Transport
Visite institut de beauté,Other
soin du corps,Other
vol - retour,Transport
Entrée accrobranche,Entertainment
coloscopie médical,Healthcare
emplettes pâtisserie,Food
Ticket de taxi,Transport
Ticket de moto,Transport
batterie,Shopping
baskets chez Jules,Shopping
acompte streaming,Bills
food court - bonbons,Food
riz bio,Food
Service plomberie,Other
dessert au boulangerie,Food
dîner de chocolat,Food
miscellaneous,Other
Consultation sage-femme,Healthcare
quittance mobile,Bills
Cours programmation,Education
carburant,Transport
poisson au supermarché,Food
Facture WiFi,Bills
cotisation,Healthcare
iPad,Shopping
déjeuner hebdomadaire restaurant,Food
moniteur,Shopping
mammographie médical,Healthcare
Sortie festival,Entertainment
achat internet - téléphone,Shopping
Place show,Entertainment
Ticket match,Entertainment
carte moto,Transport
Achat câble,Shopping
bateau vers terminal,Transport
Paiement câble Disney+,Bills
Commande pizzeria,Food
reçu copropriété,Bills
Abonnement mobile,Bills
HBO mensuel,Entertainment
Auchan - viennoiseries,Food
Inscription académie,Education
cotisation,Education
Inscription DUT,Education
yaourt au Lidl,Food
Amazon - smartphone,Shopping
Achat casserole chez magasin,Shopping
radio au maison de santé,Healthcare
rouge à lèvres,Shopping
Recharge Sans Plomb 95,Transport
pâtée,Other
bail mensuel,Bills
Prime - chauffage,Bills
vélo vers aéroport,Transport
cosmétique,Shopping
autoroute vélo,Transport
Commande Burger King,Food
antidouleur,Healthcare
Ticket rallye,Entertainment
traitement,Healthcare
Achat canapé chez Uniqlo,Shopping
Paiement téléphone Sosh,Bills
coloscopie au service,Healthcare
taxe d'habitation,Bills
biscuits au Casino,Food
Paiement gaz Sosh,Bills
écho au consultation,Healthcare
Cadeau - manga,Shopping
bonbons hebdomadaire,Food
mobile mensuel,Bills
repas chez bar,Food
VTC vers arrêt,Transport
emplettes fait maison cantine,Food
goûter de yaourt,Food
séance,Healthcare
moto vers aéroport,Transport
Stage anglais,Education
séance,Healthcare
Commande Franprix,Food
Facture pharmacie,Healthcare
Frais de forfait,Transport
psychiatre - cardiologie,Healthcare
Formation chimie,Education
gâteau au bistrot,Food
commande du jour food court,Food
coloration,Other
Inscription lycée,Education
Place vernissage,Entertainment
Paiement chauffage Prime,Bills
snack à emporter bistrot,Food
ceinture chez H&M,Shopping
copropriété mensuel,Bills
buffet de thé,Food
couverture santé,Healthcare
Facture EDF,Bills
Commande boucherie,Food
Achat jeu vidéo,Entertainment
Billet musée,Entertainment
aller en train,Transport
formation à distance,Education
Facture télévision,Bills
Stage dessin,Education
Sortie musée,Entertainment
Abonnement chauffage,Bills
Achat enceinte,Shopping
Commande Casino,Food
Ticket course,Entertainment
frites du jour,Food
Burger King - soupe,Food
Achat sous-vêtements,Shopping
Recharge carburant,Transport
verre,Shopping
Service dépannage,Other
écho médical,Healthcare
brosse,Shopping
Facture fixe,Bills
centre de formation - internat,Education
AirPods,Shopping
Commande AliExpress,Shopping
réinscription,Education
Séance chiropracteur,Healthcare
biscuits au Carrefour,Food
Achat gants,Shopping
ordures ménagères,Bills
Service couture,Other
laverie,Other
ticket voiture,Transport
Billet bus,Transport
hospitalisation,Healthcare
Paiement TV Sosh,Bills
vétérinaire,Other
médecin - ophtalmologie,Healthcare
Séance diététicien,Healthcare
Consultation médecin,Healthcare
robe chez Decathlon,Shopping
humanitaire,Other
charité,Other
Ticket de moto,Transport
voyage en vélo,Transport
Entrée parc aquatique,Entertainment
dîner hebdomadaire fromagerie,Food
Coursera,Education
buffet chez Monoprix,Food
Facture abonnement,Bills
Séance kinésithérapeute,Healthcare
fruits au food court,Food
Sortie one-man-show,Entertainment
Inscription centre de formation,Education
préparation,Education
Entrée laser game,Entertainment
Achat bouilloire chez H&M,Shopping
Commande café,Food
Consultation nutritionniste,Healthcare
boulangerie - sandwich,Food
Visite hammam,Other
Visite hammam,Other
Ticket championnat,Entertainment
Commande boulangerie,Food
don,Other
Paiement abonnement Disney+,Bills
tirage,Other
électrocardiogramme médical,Healthcare
faculté - internat,Education
Frais de recharge,Transport
transfert RER,Transport
YouTube Premium mensuel,Entertainment
one-man-show du soir,Entertainment
Consultation kinésithérapeute,Healthcare
gaz mensuel,Bills
snack de condiments,Food
Recharge pompe,Transport
Croix-Rouge,Other
reçu mensualité,Bills
Sortie exposition,Entertainment
Abonnement chauffage,Bills
en-cas bio fast-food,Food
Molotov mensuel,Entertainment
ordures ménagères,Bills
poissonnerie - épices,Food
déjeuner bio boulangerie,Food
Inscription collège,Education
chips local,Food
Billet concert,Entertainment
conduite,Education
Abonnement Apple TV+,Entertainment
OpenClassrooms,Education
Stage philosophie,Education
Sortie opéra,Entertainment
Achat imprimante,Shopping
frais divers,Other
acompte internet,Bills
Déjeuner au poissonnerie,Food
règlement fibre,Bills
quittance location,Bills
gâteau surgelé,Food
lait au supermarché,Food
Abonnement YouTube Premium,Entertainment
Achat Xbox Game Pass,Entertainment
université - frais de scolarité,Education
Billet concert,Entertainment
Repas au épicerie,Food
VTC - transport,Transport
Casino - soupe,Food
acompte eau,Bills
Amazon Prime mensuel,Entertainment
Formation mathématiques,Education
jean chez Kiabi,Shopping
Livraison Lidl,Food
Livraison food court,Food
garde-meuble,Other
Achat médicaments maison de santé,Healthcare
achat de chips,Food
Inscription lycée,Education
brosse,Shopping
Facture Disney+,Bills
Livraison Carrefour,Food
